united_kingdom,Average rainfall in the UK per year (in mm),1295.0
china,Cumulative number of deaths from SARS,349.0
china,Cumulative number of reported cases of SARS,5328.0
world,Cumulative number of reported cases of SARS,8098.0
world,Cumulative number of deaths from SARS,774.0
canada,Cumulative number of reported cases of SARS,251.0
hong_kong,Cumulative number of deaths from SARS,299.0
united_states,Cumulative number of reported cases of SARS,29.0
hong_kong,Cumulative number of reported cases of SARS,1755.0
australia,Cumulative number of reported cases of SARS,6.0
brazil,Cumulative number of reported cases of SARS,1.0
bulgaria,Cumulative number of reported cases of SARS,1.0
columbia,Cumulative number of reported cases of SARS,1.0
finland,Cumulative number of reported cases of SARS,1.0
france,Cumulative number of reported cases of SARS,7.0
germany,Cumulative number of reported cases of SARS,9.0
indonesia,Cumulative number of reported cases of SARS,2.0
india,Cumulative number of reported cases of SARS,3.0
ireland,Cumulative number of reported cases of SARS,1.0
italy,Cumulative number of reported cases of SARS,4.0
japan,Cumulative number of reported cases of SARS,1.0
korea,Cumulative number of reported cases of SARS,3.0
kuwait,Cumulative number of reported cases of SARS,1.0
macau,Cumulative number of reported cases of SARS,1.0
malaysia,Cumulative number of reported cases of SARS,5.0
mongolia,Cumulative number of reported cases of SARS,9.0
new_zealand,Cumulative number of reported cases of SARS,1.0
philippines,Cumulative number of reported cases of SARS,14.0
poland,Cumulative number of reported cases of SARS,1.0
romania,Cumulative number of reported cases of SARS,1.0
russia,Cumulative number of reported cases of SARS,1.0
south_africa,Cumulative number of reported cases of SARS,1.0
singapore,Cumulative number of reported cases of SARS,238.0
spain,Cumulative number of reported cases of SARS,1.0
sweden,Cumulative number of reported cases of SARS,5.0
switzerland,Cumulative number of reported cases of SARS,1.0
taiwan,Cumulative number of reported cases of SARS,346.0
thailand,Cumulative number of reported cases of SARS,9.0
united_kingdom,Cumulative number of reported cases of SARS,4.0
vietnam,Cumulative number of reported cases of SARS,63.0
canada,Cumulative number of deaths from SARS,43.0
malaysia,Cumulative number of deaths from SARS,2.0
philippines,Cumulative number of deaths from SARS,2.0
south_africa,Cumulative number of deaths from SARS,1.0
singapore,Cumulative number of deaths from SARS,33.0
taiwan,Cumulative number of deaths from SARS,37.0
thailand,Cumulative number of deaths from SARS,2.0
vietnam,Cumulative number of deaths from SARS,5.0
australia,Cumulative number of reported recoveries of SARS,6.0
brazil,Cumulative number of reported recoveries of SARS,1.0
canada,Cumulative number of reported recoveries of SARS,200.0
china,Cumulative number of reported recoveries of SARS,4949.0
columbia,Cumulative number of reported recoveries of SARS,1.0
finland,Cumulative number of reported recoveries of SARS,1.0
france,Cumulative number of reported recoveries of SARS,6.0
germany,Cumulative number of reported recoveries of SARS,9.0
hong_kong,Cumulative number of reported recoveries of SARS,1448.0
indonesia,Cumulative number of reported recoveries of SARS,2.0
india,Cumulative number of reported recoveries of SARS,3.0
ireland,Cumulative number of reported recoveries of SARS,1.0
italy,Cumulative number of reported recoveries of SARS,4.0
korea,Cumulative number of reported recoveries of SARS,3.0
kuwait,Cumulative number of reported recoveries of SARS,1.0
macau,Cumulative number of reported recoveries of SARS,1.0
malaysia,Cumulative number of reported recoveries of SARS,3.0
mongolia,Cumulative number of reported recoveries of SARS,9.0
new_zealand,Cumulative number of reported recoveries of SARS,1.0
philippines,Cumulative number of reported recoveries of SARS,12.0
romania,Cumulative number of reported recoveries of SARS,1.0
singapore,Cumulative number of reported recoveries of SARS,205.0
spain,Cumulative number of reported recoveries of SARS,1.0
sweden,Cumulative number of reported recoveries of SARS,3.0
switzerland,Cumulative number of reported recoveries of SARS,1.0
taiwan,Cumulative number of reported recoveries of SARS,475.0
thailand,Cumulative number of reported recoveries of SARS,7.0
world,Cumulative number of reported recoveries of SARS,7442.0
united_kingdom,Cumulative number of reported recoveries of SARS,4.0
united_states,Cumulative number of reported recoveries of SARS,26.0
vietnam,Cumulative number of reported recoveries of SARS,58.0
united_kingdom,Average anual rainfall (in mm),1295.0
japan,Average annual temperature,null
france,Average temperature across all areas,11.7
world,Life Expectancy at Birth Total World,70.7792
world,US Census Bureau World Population Estimate,7176.023
algeria,US Census Bureau Population Estimate By Country Algeria,38.814
angola,US Census Bureau Population Estimate By Country Angola,19.088
armenia,US Census Bureau Population Estimate By Country Armenia,3.061
azerbaijan,US Census Bureau Population Estimate By Country Azerbaijan,9.686
bahamas,US Census Bureau Population Estimate By Country Bahamas,0.322
bahrain,US Census Bureau Population Estimate By Country Bahrain,1.314
barbados,US Census Bureau Population Estimate By Country Barbados,0.29
belarus,US Census Bureau Population Estimate By Country Belarus,9.608
belize,US Census Bureau Population Estimate By Country Belize,0.341
benin,US Census Bureau Population Estimate By Country Benin,10.161
bermuda,US Census Bureau Population Estimate By Country Bermuda,0.07
bolivia,US Census Bureau Population Estimate By Country Bolivia,10.631
bosnia,US Census Bureau Population Estimate By Country Bosnia,3.872
bulgaria,US Census Bureau Population Estimate By Country Bulgaria,6.925
burkina_faso,US Census Bureau Population Estimate By Country Burkina Faso,18.365
burundi,US Census Bureau Population Estimate By Country Burundi,10.396
central_african_republic,US Census Bureau Population Estimate By Country Central African Rep,5.2780000000000005
cambodia,US Census Bureau Population Estimate By Country Cambodia,15.458
cape_verde,US Census Bureau Population Estimate By Country Cape Verde,0.539
cayman_islands,US Census Bureau Population Estimate By Country Cayman Islands,0.055
democratic_republic_of_congo,US Census Bureau Population Estimate By Country Democratic Republic of Congo,77.434
congo,US Census Bureau Population Estimate By Country Congo,4.662
cook_islands,US Census Bureau Population Estimate By Country Cook Islands,0.01
cuba,US Census Bureau Population Estimate By Country Cuba,11.047
cyprus,US Census Bureau Population Estimate By Country Cyprus,1.172
czech_republic,US Census Bureau Population Estimate By Country Czech Republic,10.627
dominica,US Census Bureau Population Estimate By Country Dominica,0.073
dominican_republic,US Census Bureau Population Estimate By Country Dominican Republic,10.35
ecuador,US Census Bureau Population Estimate By Country Ecuador,15.654
